gene,n_both,n_inv,rate,enrichment
MOV10,242,9,0.0371900826446281,0.7137710221021065
TM2D1,65,9,0.13846153846153847,2.657424420749381
MTA2,444,9,0.02027027027027027,0.38903735889349045
ATP5F1A,20,9,0.45,8.636629367435487
PCYT2,134,9,0.06716417910447761,1.2890491593187297
NDUFA8,40,9,0.225,4.318314683717744
CUL3,114,8,0.07017543859649122,1.3468427863447154
DNTTIP1,82,8,0.0975609756097561,1.8724399712597264
NCAPG2,136,8,0.058823529411764705,1.1289711591418938
SETDB1,634,8,0.012618296529968454,0.2421767786171886
SMARCA5,65,7,0.1076923076923077,2.066885660582852
METAP2,134,7,0.05223880597014925,1.002593790581234
PDSS2,291,7,0.024054982817869417,0.4616754911954824
MIOS,71,7,0.09859154929577464,1.8922192667307798
TIMM8B,20,7,0.35,6.717378396894268
NDUFS8,17,6,0.35294117647058826,6.773826954851364
CCNF,22,6,0.2727272727272727,5.23432082874878
STK11,160,6,0.0375,0.7197191139529573
CEP43,123,6,0.04878048780487805,0.9362199856298632
GPI,65,6,0.09230769230769231,1.7716162804995874
SIN3B,564,6,0.010638297872340425,0.20417563516395953
OXA1L,97,6,0.061855670103092786,1.1871655487883832
BRK1,47,6,0.1276595744680851,2.450107621967514
CXXC1,120,6,0.05,0.9596254852706099
YY1,109,6,0.05504587155963303,1.0564684241511302
LCK,73,6,0.0821917808219178,1.5774665511297694
ZAP70,47,6,0.1276595744680851,2.450107621967514
RB1CC1,49,6,0.12244897959183673,2.350103229234146
SEL1L,165,5,0.030303030303030304,0.581591203194309
EIF3J,38,5,0.13157894736842105,2.5253302243963414
MCTS1,330,5,0.015151515151515152,0.2907956015971545
TNPO1,289,5,0.01730103806228374,0.3320503409240865
RTRAF,189,4,0.021164021164021163,0.4061906815960253
RASAL3,16,4,0.25,4.798127426353049
DDX6,214,4,0.018691588785046728,0.35873849916658307
PTPN2,59,4,0.06779661016949153,1.3011870986720133
PTEN,296,4,0.013513513513513514,0.259358239262327
PMVK,121,4,0.03305785123966942,0.634463130757428
CAND1,194,4,0.020618556701030927,0.3957218495961277
INTS14,203,4,0.019704433497536946,0.378177531141127
IST1,43,4,0.09302325581395349,1.7853497400383438
CASC3,389,4,0.010282776349614395,0.19735228488855727
UBE2N,7,4,0.5714285714285714,10.967148403092683
EIF3H,66,4,0.06060606060606061,1.163182406388618
SMG7,417,4,0.009592326139088728,0.18410081252193952
THRAP3,102,4,0.0392156862745098,0.7526474394279292
MBD2,34,3,0.08823529411764706,1.693456738712841
WAPL,11,3,0.2727272727272727,5.23432082874878
C1D,146,3,0.02054794520547945,0.39436663778244235
COPS8,30,3,0.1,1.9192509705412197
PNPT1,32,3,0.09375,1.7992977848823934
PARP14,9,3,0.3333333333333333,6.397503235137398
CRLS1,17,3,0.17647058823529413,3.386913477425682
GABPB1,233,3,0.012875536480686695,0.2471138588679682
INTS10,393,3,0.007633587786259542,0.14650770767490226
BHLHE40,249,3,0.012048192771084338,0.2312350566917132
FNBP4,98,3,0.030612244897959183,0.5875258073085365
ATXN7L3,104,3,0.028846153846153848,0.5536300876561211
DPH5,144,3,0.020833333333333332,0.39984395219608737
STRAP,394,3,0.007614213197969543,0.1461358607011081
ATP1B3,19,3,0.15789473684210525,3.0303962692756095
DHPS,52,3,0.057692307692307696,1.1072601753122422
RCC1L,21,3,0.14285714285714285,2.7417871007731707
MIPEP,59,3,0.05084745762711865,0.97589032400401
ATP5MF,9,3,0.3333333333333333,6.397503235137398
ARIH1,67,3,0.04477611940298507,0.8593661062124863
MYO9A,105,2,0.01904761904761905,0.3655716134364228
ZNF710,9,2,0.2222222222222222,4.265002156758266
USO1,40,2,0.05,0.9596254852706099
HMBS,74,2,0.02702702702702703,0.518716478524654
MED23,26,2,0.07692307692307693,1.4763469004163228
PARS2,23,2,0.08695652173913043,1.6689138874271474
INO80,34,2,0.058823529411764705,1.1289711591418938
COX6C,44,2,0.045454545454545456,0.8723868047914635
MLYCD,22,2,0.09090909090909091,1.744773609582927
XRCC2,60,2,0.03333333333333333,0.6397503235137398
VPS41,35,2,0.05714285714285714,1.0967148403092684
WASF2,30,2,0.06666666666666667,1.2795006470274797
CAMSAP1,18,2,0.1111111111111111,2.132501078379133
KAT7,43,2,0.046511627906976744,0.8926748700191719
IWS1,93,2,0.021505376344086023,0.41274214420241284
