symbol	ensembl_gene_id	endpoint_role
TMED2	ENSG00000086598	target
DNAJB11	ENSG00000090520	target
DHRS7	ENSG00000100612	target
HM13	ENSG00000101294	target
DNAJC3	ENSG00000102580	target
CLPTM1	ENSG00000104853	target
RABAC1	ENSG00000105404	target
TMEM205	ENSG00000105518	target
TBL2	ENSG00000106638	target
SEC61B	ENSG00000106803	target
CCDC47	ENSG00000108588	target
CCNG1	ENSG00000113328	target
SSR3	ENSG00000114850	target
SPCS1	ENSG00000114902	target
AUP1	ENSG00000115307	target
ABCB6	ENSG00000115657	target
SCAMP3	ENSG00000116521	target
ATP6V0B	ENSG00000117410	target
SPCS2	ENSG00000118363	target
ALG5	ENSG00000120697	target
SLC35B1	ENSG00000121073	target
SSR1	ENSG00000124783	target
EMC3	ENSG00000125037	target
TM9SF2	ENSG00000125304	target
ERGIC3	ENSG00000125991	target
CANX	ENSG00000127022	target
CALU	ENSG00000128595	target
SPCS3	ENSG00000129128	target
REEP5	ENSG00000129625	target
SELENOS	ENSG00000131871	target
FKBP11	ENSG00000134285	target
STT3A	ENSG00000134910	target
HAVCR2	ENSG00000135077	target
KDELR2	ENSG00000136240	target
ATRAID	ENSG00000138085	target
SEC31A	ENSG00000138674	target
RUSF1	ENSG00000140688	target
SLC39A6	ENSG00000141424	target
EMP3	ENSG00000142227	target
PIGK	ENSG00000142892	target
TMCO1	ENSG00000143183	target
CERS2	ENSG00000143418	target
PDIA6	ENSG00000143870	target
SRPRB	ENSG00000144867	target
PLPP5	ENSG00000147535	target
MTDH	ENSG00000147649	target
SURF4	ENSG00000148248	target
ZFP36L2	ENSG00000152518	target
PTDSS1	ENSG00000156471	target
SEC13	ENSG00000157020	target
RER1	ENSG00000157916	target
ATP1A1	ENSG00000163399	target
KRTCAP2	ENSG00000163463	target
SSR2	ENSG00000163479	target
SEC11C	ENSG00000166562	target
PPIB	ENSG00000166794	target
PDIA3	ENSG00000167004	target
YIF1B	ENSG00000167645	target
TAP1	ENSG00000168394	target
TMEM208	ENSG00000168701	target
TMED10	ENSG00000170348	target
YIF1A	ENSG00000174851	target
TMEM39A	ENSG00000176142	target
SSR4	ENSG00000180879	target
SELENOF	ENSG00000183291	target
TMED9	ENSG00000184840	target
TMEM179B	ENSG00000185475	target
TRPV2	ENSG00000187688	target
BLM	ENSG00000197299	target
DDRGK1	ENSG00000198171	target
MACO1	ENSG00000204178	target
HACD2	ENSG00000206527	target
TMX2	ENSG00000213593	target
IFI30	ENSG00000216490	target
ACAD11	ENSG00000240303	target
DDOST	ENSG00000244038	target
CNN2	ENSG00000064666	target
SEC31B	ENSG00000075826	target
SCD	ENSG00000099194	target
RASSF2	ENSG00000101265	target
CORO1A	ENSG00000102879	target
ARHGDIB	ENSG00000111348	target
IFIH1	ENSG00000115267	target
IFIT3	ENSG00000119917	target
CXCR4	ENSG00000121966	target
IFI6	ENSG00000126709	target
JUND	ENSG00000130522	target
RSAD2	ENSG00000134321	target
OASL	ENSG00000135114	target
ACTR2	ENSG00000138071	target
HERC5	ENSG00000138646	target
HAPLN3	ENSG00000140511	target
TMEM140	ENSG00000146859	target
ADAM8	ENSG00000151651	target
GBP5	ENSG00000154451	target
RAB11FIP1	ENSG00000156675	target
LSS	ENSG00000160285	target
DTX3L	ENSG00000163840	target
TPM4	ENSG00000167460	target
ISG20	ENSG00000172183	target
CFL1	ENSG00000172757	target
ACTG1	ENSG00000184009	target
MUC1	ENSG00000185499	target
ISG15	ENSG00000187608	target
CD55	ENSG00000196352	target
