gene,n_both,n_inv,rate,decile,p_expected,p_naive,p_degree_matched,q_naive,q_degree_matched,enrichment_vs_decile,OR_logistic,p_logistic,sig,direction,logistic_uncalibrated_do_not_use
SMARCE1,783,36,0.04597701149425287,9,0.07028652841538705,0.47040064844177953,0.006282189754750432,0.5941902927685636,0.020225586527489195,0.6541368955162059,0.7675253390623868,0.007282614740496336,True,down,0.008395678128781801
GABPB1,233,3,0.012875536480686695,6,0.047804712663163246,0.0029477996676298707,0.008104780921021001,0.009727738903178573,0.025779062206621017,0.26933613368642134,0.2678798559947776,7.211998783149345e-72,True,down,2.0472770739262655e-71
MIOS,71,7,0.09859154929577464,1,0.03243847874720358,0.10024940941850302,0.008205103972627055,0.1707473812031277,0.02578746962825646,3.039339485186984,2.9007905344618163,2.231145120016156e-29,True,up,4.56606443166097e-29
DHX36,1019,51,0.050049067713444556,9,0.0703371718396121,0.7789188293712366,0.009963446170773983,0.849729632041349,0.030945291636286253,0.7115592851468361,0.7930164157483967,0.03297224768923576,True,down,0.036421227573047034
UBR5,350,9,0.025714285714285714,7,0.0557835342395486,0.02196826012917321,0.010110224134991803,0.0527238243100157,0.031036036879509725,0.46096551724137935,0.4979113825933632,1.5246857202736286e-19,True,down,2.683446867681586e-19
BTAF1,277,25,0.09025270758122744,7,0.05323338838775251,0.009527939988424477,0.01028462603492071,0.025667103642286346,0.031208520381828364,1.695415420935182,1.977106341012623,6.819988174412262e-20,True,up,1.2165384311113766e-19
TAF11,625,14,0.0224,8,0.04215726636475916,0.0002968002657461131,0.012299924614413083,0.0015011471965545834,0.03689977384323925,0.53134375,0.381615728854579,2.1279346770347674e-26,True,down,4.255869354069535e-26
TARS2,103,9,0.08737864077669903,3,0.03698485382176823,0.11791930619418196,0.014342124373839013,0.19407127953774514,0.042542930726893254,2.3625520110957003,2.3473078952682123,2.883068162411718e-24,True,up,5.5154347454832864e-24
PDSS2,291,7,0.024054982817869417,7,0.05561919307623775,0.024912423856924378,0.01451950524774635,0.05573627032396641,0.04259054872672263,0.4324942791762014,0.4834361754554309,2.5100287680234184e-22,True,down,4.733197105415589e-22
ID2,94,0,0.0,2,0.04992585269401879,0.010078020497358883,0.015365914417067437,0.02677259487349697,0.04303350368709664,0.0,5.325121540949539e-10,2.7947007885204427e-100,True,down,1.3662981632766608e-99
UPF2,131,1,0.007633587786259542,4,0.050387596899224806,0.016200924513424246,0.015612572986452185,0.04034947237305662,0.04303350368709664,0.15149735760422783,0.1783000207835822,3.2051149836142073e-107,True,down,2.1696162966003865e-106
ACTR5,114,0,0.0,3,0.04031117397454031,0.004797433443956224,0.015667141161850587,0.014392300331868672,0.04303350368709664,0.0,5.112978985609048e-10,9.866265925069867e-101,True,down,5.662378704822706e-100
KMT2C,114,0,0.0,3,0.04031117397454031,0.004797433443956224,0.015667141161850587,0.014392300331868672,0.04303350368709664,0.0,5.112978985392557e-10,9.866265916181137e-101,True,down,5.662378704822706e-100
SRSF10,115,0,0.0,3,0.04032543332154227,0.004908531908554985,0.015730209795787292,0.014560139593915913,0.04303350368709664,0.0,5.103576455903709e-10,9.421190378297533e-101,True,down,5.65271422697852e-100
EHMT2,362,10,0.027624309392265192,7,0.05574107372206524,0.032913452973339946,0.015738838413372654,0.07122255397509628,0.04303350368709664,0.4955826565165364,0.5322272243705787,4.664761767901996e-16,True,down,7.794285485608397e-16
ZFC3H1,96,0,0.0,2,0.0499752597723899,0.010141134421779155,0.015811552491092326,0.02677259487349697,0.04303350368709664,0.0,5.301547577407777e-10,2.4895161235205973e-100,True,down,1.240060861527241e-99
MTA2,444,9,0.02027027027027027,8,0.041943858510465684,0.0009107000652147832,0.017636117208287033,0.0036704761952265166,0.04741561449035655,0.48327147263317477,0.37085917412450536,5.13646382930544e-34,True,down,1.111497090931669e-33
ACTR8,151,14,0.09271523178807947,4,0.046790641871625675,0.04102432099069565,0.017780855433883705,0.08143173489882444,0.04741561449035655,1.9814909152657498,2.313144449808073,6.22393288192058e-28,True,up,1.2639371390977179e-27
METTL1,108,9,0.08333333333333333,3,0.03705010585744531,0.18770634106234285,0.01920561888944138,0.2831684230883344,0.05070283386812524,2.2492063492063488,2.206111655541498,1.2309640322785193e-21,False,up,2.2885528487431628e-21
GPI,65,6,0.09230769230769231,1,0.03288740245261984,0.15525630665171375,0.01999444729151755,0.23969394711141773,0.05226271371248152,2.8067796610169498,2.7462967023224207,3.8427163164735626e-25,False,up,7.570724683201646e-25
INSR,123,1,0.008130081300813009,4,0.05026769779892921,0.02307195401527724,0.022369790735075196,0.052965181391592966,0.05744004763551653,0.16173570019723868,0.19253751545031486,3.664121483377611e-95,False,down,1.1942321871749251e-94
