gene,n_both,n_inv,rate,decile,p_expected,enrichment_vs_decile,p_ora_pooled,p_ora_indeg_matched,p_ora_fisher,q_ora_pooled,q_ora_indeg_matched,q_ora_fisher
ZNF514,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PLK3,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF512B,7,0,0.0,1,0.06280566280566281,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRKAR1B,14,0,0.0,5,0.05670604586518416,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF706,9,0,0.0,2,0.05435323383084577,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRKAR2A,7,0,0.0,1,0.06280566280566281,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PREP,9,0,0.0,2,0.05435323383084577,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF512,11,0,0.0,4,0.058300012898232945,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PLOD3,17,0,0.0,6,0.04791915679669673,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRELID2,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PPP3CC,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PPP3R1,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PPP4R1,9,0,0.0,2,0.05435323383084577,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF562,20,0,0.0,7,0.04531838825007247,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PPP4R3A,13,0,0.0,5,0.05669816564758199,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PPP4R3B,11,0,0.0,4,0.058300012898232945,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF561,7,0,0.0,1,0.06280566280566281,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PPP6R2,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF559,11,0,0.0,4,0.058300012898232945,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PQBP1,7,0,0.0,1,0.06280566280566281,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF558,11,0,0.0,4,0.058300012898232945,0.0,1.0,1.0,1.0,1.0,1.0,1.0
