gene,n_both,n_inv,rate,decile,p_expected,enrichment_vs_decile,odds_ratio,p_enrichment,q_enrichment,sig_enriched,p_two_sided,q_two_sided,sig_two_sided,direction,shown_in_fig2a,label_rank_fig2a,label_rank_fig2a_two_sided
CCNA2,107,0,0.0,7,0.041472868217054266,0.0,0.0,1.0,1.0,False,0.023039519784583642,0.10688258426382036,False,down,False,0,0
CCNK,32,0,0.0,4,0.03062200956937799,0.0,0.0,1.0,1.0,False,0.6235676301375692,1.0,False,down,False,0,0
CCS,11,0,0.0,1,0.0311284046692607,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
CD2BP2,1,0,0.0,0,0.06506024096385542,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
CDCA3,3,0,0.0,0,0.06537530266343826,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
CDK5RAP3,12,0,0.0,1,0.03116883116883117,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
CDKN2AIP,46,0,0.0,5,0.032407407407407406,0.0,0.0,1.0,1.0,False,0.4020298857736963,0.9002621710636174,False,down,False,0,0
CHORDC1,2,0,0.0,0,0.06521739130434782,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
CHTF18,47,0,0.0,5,0.032418952618453865,0.0,0.0,1.0,1.0,False,0.4029082496875812,0.9002621710636174,False,down,False,0,0
CLASRP,26,0,0.0,3,0.034458509142053444,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
CMTM7,13,0,0.0,1,0.031209362808842653,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
CNBP,15,0,0.0,1,0.03129074315514994,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
CNOT4,55,0,0.0,5,0.03251161128974634,0.0,0.0,1.0,1.0,False,0.4205324951948554,0.91340258657776,False,down,False,0,0
COA3,13,0,0.0,1,0.031209362808842653,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
COMMD8,2,0,0.0,0,0.06521739130434782,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
COPRS,26,0,0.0,3,0.034458509142053444,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
CREB1,82,0,0.0,6,0.04225673823663773,0.0,0.0,1.0,1.0,False,0.049459144291495755,0.19588966692357254,False,down,False,0,0
CSNK2A1,49,0,0.0,5,0.03244206773618538,0.0,0.0,1.0,1.0,False,0.405628660544061,0.9002621710636174,False,down,False,0,0
CTDSPL2,127,0,0.0,7,0.041580310880829016,0.0,0.0,1.0,1.0,False,0.010409920196539448,0.05839018873877127,False,down,False,0,0
