display_rank	target	target_ensg	orientation	go_id	go_term
94	TUBE1	ENSG00000074935	lost_on_activation	GO:0022402	cell cycle process
95	SNX10	ENSG00000086300	lost_on_activation	GO:0022607	cellular component assembly
96	EIF5	ENSG00000100664	lost_on_activation	GO:0022607	cellular component assembly
96	EIF5	ENSG00000100664	lost_on_activation	GO:0010468	regulation of gene expression
96	EIF5	ENSG00000100664	lost_on_activation	GO:0006412	translation
97	ERI1	ENSG00000104626	lost_on_activation	GO:0010468	regulation of gene expression
97	ERI1	ENSG00000104626	lost_on_activation	GO:0016070	RNA metabolic process
98	LPXN	ENSG00000110031	lost_on_activation	GO:0007155	cell adhesion
98	LPXN	ENSG00000110031	lost_on_activation	GO:0022607	cellular component assembly
98	LPXN	ENSG00000110031	lost_on_activation	GO:0023052	signaling
99	TNFAIP3	ENSG00000118503	lost_on_activation	GO:0044238	primary metabolic process
99	TNFAIP3	ENSG00000118503	lost_on_activation	GO:0010468	regulation of gene expression
99	TNFAIP3	ENSG00000118503	lost_on_activation	GO:0023052	signaling
102	CLSTN3	ENSG00000139182	lost_on_activation	GO:0007155	cell adhesion
102	CLSTN3	ENSG00000139182	lost_on_activation	GO:0022607	cellular component assembly
102	CLSTN3	ENSG00000139182	lost_on_activation	GO:0044238	primary metabolic process
103	TMBIM6	ENSG00000139644	lost_on_activation	GO:0010468	regulation of gene expression
103	TMBIM6	ENSG00000139644	lost_on_activation	GO:0055085	transmembrane transport
104	CRIM1	ENSG00000150938	lost_on_activation	GO:0023052	signaling
106	TGFBR2	ENSG00000163513	lost_on_activation	GO:0007155	cell adhesion
106	TGFBR2	ENSG00000163513	lost_on_activation	GO:0012501	programmed cell death
106	TGFBR2	ENSG00000163513	lost_on_activation	GO:0023052	signaling
107	TLR6	ENSG00000174130	lost_on_activation	GO:0008152	metabolic process
107	TLR6	ENSG00000174130	lost_on_activation	GO:0010468	regulation of gene expression
107	TLR6	ENSG00000174130	lost_on_activation	GO:0023052	signaling
109	LTN1	ENSG00000198862	lost_on_activation	GO:0006412	translation
110	SMOX	ENSG00000088826	lost_on_activation	GO:0008152	metabolic process
111	SNX9	ENSG00000130340	lost_on_activation	GO:0022402	cell cycle process
111	SNX9	ENSG00000130340	lost_on_activation	GO:0022607	cellular component assembly
111	SNX9	ENSG00000130340	lost_on_activation	GO:0016192	vesicle-mediated transport
112	ITGB7	ENSG00000139626	lost_on_activation	GO:0007155	cell adhesion
112	ITGB7	ENSG00000139626	lost_on_activation	GO:0048870	cell motility
112	ITGB7	ENSG00000139626	lost_on_activation	GO:0023052	signaling
113	PEX2	ENSG00000164751	lost_on_activation	GO:0006914	autophagy
113	PEX2	ENSG00000164751	lost_on_activation	GO:0006629	lipid metabolic process
113	PEX2	ENSG00000164751	lost_on_activation	GO:0055085	transmembrane transport
115	IGF2R	ENSG00000197081	lost_on_activation	GO:0023052	signaling
115	IGF2R	ENSG00000197081	lost_on_activation	GO:0016192	vesicle-mediated transport
116	APOL6	ENSG00000221963	lost_on_activation	GO:0044238	primary metabolic process
118	RNF19A	ENSG00000034677	lost_on_activation	GO:0044238	primary metabolic process
119	ATP11B	ENSG00000058063	lost_on_activation	GO:0055085	transmembrane transport
120	VDAC3	ENSG00000078668	lost_on_activation	GO:0048870	cell motility
120	VDAC3	ENSG00000078668	lost_on_activation	GO:0022607	cellular component assembly
120	VDAC3	ENSG00000078668	lost_on_activation	GO:0055085	transmembrane transport
121	DDX1	ENSG00000079785	lost_on_activation	GO:0022607	cellular component assembly
121	DDX1	ENSG00000079785	lost_on_activation	GO:0006281	DNA repair
121	DDX1	ENSG00000079785	lost_on_activation	GO:0010468	regulation of gene expression
