display_rank	regulator	regulator_ensg	lost_on_activation	gained_on_activation	total_reversals	out_degree	reversal_rate	fold_vs_degree_decile	p_two_sided	q_two_sided	q_one_sided_enrichment	functional_annotation	functional_annotation_source	all_lost	all_gained	all_total	dense_lost	dense_gained	dense_total
33	ATP5F1A	ENSG00000152234	8	1	9	20	0.45	10.04318181818182	1.7557978090153897e-07	3.611090827208318e-06	5.4166362408124775e-06	other / unclassified		2	0	2	1	0	1
34	NDUFA8	ENSG00000119421	0	9	9	40	0.225	7.721341463414635	2.7743911866493258e-06	4.890855320464669e-05	7.712053906260003e-05	other / unclassified		0	3	3	0	2	2
35	KMT2E	ENSG00000005483	4	5	9	59	0.1525423728813559	5.1994625878462175	7.734593029415833e-05	0.000973927326357	0.0016456013445343	other / unclassified		0	0	0	0	0	0
36	TM2D1	ENSG00000162604	6	3	9	65	0.1384615384615384	3.457604895104895	0.0012792676624333	0.0109626131627969	0.0207712670452994	other / unclassified		0	0	0	0	0	0
37	TIMM8B	ENSG00000150779	7	0	7	20	0.35	7.471739130434781	3.543261639111469e-05	0.0005332176661784	0.0008408432428199	other / unclassified		2	0	2	1	0	1
38	CARMIL2	ENSG00000159753	2	5	7	33	0.2121212121212121	7.774056353003722	3.748587633137929e-05	0.0005506853737252	0.0008566216924615	other / unclassified		1	0	1	1	0	1
39	CCNF	ENSG00000162063	1	5	6	22	0.2727272727272727	9.044397463002111	5.44119497709809e-05	0.0007630039320158	0.0011990061788819	other / unclassified		0	2	2	0	1	1
40	NDUFS8	ENSG00000110717	1	5	6	17	0.3529411764705882	7.39674593241552	0.0001302970295425	0.0015460243697649	0.0024349772942634	other / unclassified		0	4	4	0	1	1
41	BRK1	ENSG00000254999	3	3	6	47	0.1276595744680851	4.215769712140175	0.0033333977601178	0.0233716638408261	0.0478303818137838	other / unclassified		0	1	1	0	0	0
42	ZAP70	ENSG00000115085	1	5	6	47	0.1276595744680851	4.215769712140175	0.0033333977601178	0.0233716638408261	0.0478303818137838	other / unclassified		1	0	1	1	0	1
43	RB1CC1	ENSG00000023287	6	0	6	49	0.1224489795918367	4.040816326530612	0.0041247295092323	0.0276625881216995	0.054148044833965	other / unclassified		0	0	0	0	0	0
44	EIF3J	ENSG00000104131	2	3	5	38	0.131578947368421	4.647636039250669	0.0049585450102236	0.0309032552657374	0.0637379639855834	other / unclassified		0	1	1	0	0	0
45	CARD11	ENSG00000198286	0	4	4	13	0.3076923076923077	11.830769230769231	0.0004074906158859	0.0041216673770755	0.0069839363889335	other / unclassified		0	0	0	0	0	0
46	UBE2N	ENSG00000177889	2	2	4	7	0.5714285714285714	10.161490683229813	0.0004354471373044	0.004264617201855	0.0072613752355909	other / unclassified		0	1	1	0	0	0
47	RASAL3	ENSG00000105122	1	3	4	16	0.25	5.030612244897959	0.0079123033771397	0.0460555772046716	0.095723356543043	other / unclassified		0	0	0	0	0	0
48	SUGT1	ENSG00000165416	0	3	3	10	0.3	11.028571428571428	0.0026519562726152	0.0202007039531308	0.0409064255050899	other / unclassified		0	0	0	0	0	0
49	WAPL	ENSG00000062650	2	1	3	11	0.2727272727272727	10.012987012987011	0.0035729158369251	0.0247695401278967	0.0479236754648437	other / unclassified		2	1	3	2	0	2
