regulator_ensg	ENSG00000168209	ENSG00000134460	ENSG00000100385	ENSG00000128965	ENSG00000177034	ENSG00000134294	ENSG00000165175	ENSG00000125734	ENSG00000010017	ENSG00000139318	ENSG00000164056	ENSG00000181826	ENSG00000105281	ENSG00000134242	ENSG00000175197	ENSG00000009790	ENSG00000151012	ENSG00000137575	ENSG00000133816	ENSG00000134109	ENSG00000155307	ENSG00000156675	ENSG00000171552	ENSG00000196083	ENSG00000070540	ENSG00000141682	ENSG00000163599	ENSG00000165832	ENSG00000166974	ENSG00000169032	ENSG00000130766	ENSG00000135069	ENSG00000101255	ENSG00000035720	ENSG00000095794	ENSG00000100647	ENSG00000108582	ENSG00000111670	ENSG00000134440	ENSG00000135269	ENSG00000182158	ENSG00000101445	ENSG00000103257	ENSG00000125735	ENSG00000128271	ENSG00000129226	ENSG00000143878	ENSG00000164674	ENSG00000186480	ENSG00000196937	ENSG00000198431	ENSG00000106723	ENSG00000104964	ENSG00000153179	ENSG00000140511	ENSG00000132274	ENSG00000178802	ENSG00000135722	ENSG00000160014	ENSG00000100911	ENSG00000103187	ENSG00000171621	ENSG00000126353	ENSG00000168394	ENSG00000181026	ENSG00000189057	ENSG00000064666	ENSG00000111348	ENSG00000137804	ENSG00000188486	ENSG00000101224	ENSG00000197747	ENSG00000240065	ENSG00000087088	ENSG00000131370	ENSG00000164104	ENSG00000140525	ENSG00000146918	ENSG00000169189	ENSG00000196776
ENSG00000110321																																																			-0.3116662928149355					0.4160475963975157																								
ENSG00000173757																																																																		0.5664024696035087				0.4496051068580618										
ENSG00000168439													-0.40460389072003705																														-0.47345562418411274													0.4067944470675275	0.3148608509774143																							
ENSG00000134516																																																								0.3797402069211323																								
ENSG00000165699																			-0.3649191467346758																																																													
ENSG00000167130				-0.5693328312524891		-0.26787215871325615	-0.3022177170354315								-0.4827735313456318																-0.43986038132843236	-0.44844967172750616	-0.4991339474087174																																															
ENSG00000168610																																																													0.4064465081075918							0.25841087769792614									0.2693163797353072			
ENSG00000067955		-0.47588964305931253																																								-0.40284186510976483																																		0.2959577115622753				
ENSG00000095564	-0.4851078251888305				-0.4660615540168132	-0.2890816091303802																								-0.24732857491588792																																0.4850695364145594																		
ENSG00000182872																																																																																
ENSG00000127481																																																																												0.36967005408736775				
ENSG00000163872																																																																																
ENSG00000113812																																	-0.5624532988896945																												0.4614843994202496									0.4069420956389086										
ENSG00000169020				-0.5709057033376336			-0.41085143800838647						-0.31036657381066834													-0.5813023090695093																					-0.6234475947237538																																	
ENSG00000204619																	-0.5618803294003795																						-0.42170342507809544																														0.4119849374951822											
ENSG00000156127	-0.403208585445034																			-0.33231161925760205																																									0.38692347105273606						0.3467982799426396	0.2825271456946861												
ENSG00000065615																																																													0.3870213557586953																			
ENSG00000100294																																																																																
ENSG00000100983																																																																														0.33922714783112456		
ENSG00000173812																										-0.583762462036177																																																						
ENSG00000095319															-0.522532981004959																																																																	
ENSG00000241837							-0.3338500249490416																										-0.46260844804419343						-0.31834151022792107																																									
ENSG00000152234							-0.3544345553818565																																																																									
ENSG00000119421																																																																					0.310992144873966									0.31316650570381316		
ENSG00000005483																																																																																
ENSG00000162604																																																																																
ENSG00000150779																																											-0.4342635592366373																																					
ENSG00000159753							-0.40423223564809163																																																																									
ENSG00000162063																																																																													0.30772479704755124			
ENSG00000110717																																																																												0.3723224590140476				
ENSG00000254999																																																																																
ENSG00000115085																																	-0.7491946640281558																																															
ENSG00000023287																																																																																
ENSG00000104131																																																																																
ENSG00000198286																																																																																
ENSG00000177889																																																																																
ENSG00000105122																																																																																
ENSG00000165416																																																																																
ENSG00000062650	-0.49235330640707664				-0.6770758368273347																																																																											
