display_rank,regulator,regulator_ensg,target,target_ensg,direction,lfc_Rest,lfc_Stim48,programme_order,programme,programme_label,programme_source_terms,programme_memberships_on_edge,is_unclassified_complement
5,SUPT7L,ENSG00000119760,MMAB,ENSG00000139428,gained_on_activation,-0.2841781015812579,0.2678653413726655,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,MTMR6,ENSG00000139505,lost_on_activation,0.1411741363385435,-0.2099303135387603,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,TMBIM6,ENSG00000139644,lost_on_activation,0.1725552315728255,-0.1167035557424074,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,RHOF,ENSG00000139725,gained_on_activation,-0.3053255539688472,0.1246140006860615,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,GPR65,ENSG00000140030,lost_on_activation,0.2198439042741043,-0.3833244378352972,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,MAP1LC3B,ENSG00000140941,lost_on_activation,0.1703257534697278,-0.2510408468736234,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,TAF4B,ENSG00000141384,gained_on_activation,-0.3780699348668354,0.2912082797113406,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,ARHGDIA,ENSG00000141522,gained_on_activation,-0.1257030495520968,0.1023895907165587,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,TRIM65,ENSG00000141569,gained_on_activation,-0.2198878010536505,0.2517693711212336,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,SAMD1,ENSG00000141858,gained_on_activation,-0.2370620083020494,0.1998160349607247,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,GEMIN7,ENSG00000142252,gained_on_activation,-0.1390647637698088,0.1360349511948007,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,RERE,ENSG00000142599,lost_on_activation,0.1807279498427486,-0.2992671108563234,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,NUF2,ENSG00000143228,lost_on_activation,0.2859216697278136,-0.1866353717984358,7,unclassified,Outside six programmes,,0,True
