regulator,donor,condition,score_shift,total_variation,guide_1_score_shift,guide_2_score_shift,n_guides
MEF2D,B,Resting,0.002396831909815489,0.02103204869189501,0.019377807776133238,-0.01458414395650226,2
MYB,B,Resting,0.06374541918436688,0.13217627240757074,0.05659670631090802,0.07089413205782574,2
MYC,B,Resting,0.02642710010210675,0.043023699023977846,0.033341447512308775,0.019512752691904722,2
NFKB2,B,Resting,0.06559708217779797,0.13717120975770136,0.06478814284006756,0.06640602151552838,2
PRDM1,B,Resting,0.005793477098147093,0.007296917669868286,-0.004772444566090883,0.01635939876238507,2
SOCS3,B,Resting,0.08512974778811139,0.15400459109295284,0.07539157072703045,0.09486792484919232,2
STAT5B,B,Resting,-0.0027703543504079,0.04145138323156658,0.02782766024271649,-0.03336836894353229,2
TAF5L,B,Resting,0.020139227310816465,0.03637534394563341,0.036797950665156065,0.003480503956476866,2
USP22,B,Resting,0.019220675031344114,0.03654852475093889,0.004916379849116026,0.0335249702135722,2
ZNF217,B,Resting,0.03159409264723462,0.059692158318488925,0.01891575256983441,0.044272432724634825,2
ATXN7L3,B,Stimulated,-0.012003317475318909,0.05727629128998174,-0.018715322017669678,-0.00529131293296814,2
BACH2,B,Stimulated,0.0017633438110351562,0.005282502142868156,-0.009748995304107666,0.013275682926177979,2
BATF,B,Stimulated,-0.002408459782600403,0.018320505529537984,0.00019550323486328125,-0.005012422800064087,2
BPTF,B,Stimulated,0.007923424243927002,0.02080919944298784,0.006370335817337036,0.009476512670516968,2
CBFB,B,Stimulated,0.02764923870563507,0.06160238455274658,0.008032441139221191,0.04726603627204895,2
DNMT1,B,Stimulated,0.01224277913570404,0.0417048874893404,0.012850344181060791,0.01163521409034729,2
ETS1,B,Stimulated,-0.015382140874862671,0.04422013123137722,-0.0052003562450408936,-0.025563925504684448,2
FOXO1,B,Stimulated,0.02199801802635193,0.04677650336060235,0.04688483476638794,-0.002888798713684082,2
IL2RA,B,Stimulated,-0.06976279616355896,0.18787959725952208,-0.07489275932312012,-0.0646328330039978,2
IRF1,B,Stimulated,-0.004863113164901733,0.02505215377196654,-0.003467381000518799,-0.006258845329284668,2
IRF2,B,Stimulated,-0.001573324203491211,0.037304352229343835,-0.021403133869171143,0.01825648546218872,2
IRF4,B,Stimulated,0.028561517596244812,0.08524516857137596,0.01710262894630432,0.0400204062461853,2
KLF13,B,Stimulated,0.013626590371131897,0.038988127225569935,0.01668033003807068,0.010572850704193115,2
KLF2,B,Stimulated,0.005101621150970459,0.006432815625398769,0.015072822570800781,-0.004869580268859863,2
LEF1,B,Stimulated,-0.002952471375465393,0.02112440377132338,0.013951659202575684,-0.01985660195350647,2
MED11,B,Stimulated,0.017567113041877747,0.06256515811298072,0.022256076335906982,0.01287814974784851,2
MED12,B,Stimulated,0.035460278391838074,0.08248359874038946,0.03850597143173218,0.03241458535194397,2
MED24,B,Stimulated,0.016835317015647888,0.055814234932021145,0.02390354871749878,0.009767085313796997,2
MEF2D,B,Stimulated,0.005538716912269592,0.029731780628239668,0.011913001537322998,-0.0008355677127838135,2
MYB,B,Stimulated,0.020213916897773743,0.049939417678249026,0.01845848560333252,0.021969348192214966,2
MYC,B,Stimulated,-0.033795371651649475,0.13036645124866503,-0.03889092803001404,-0.028699815273284912,2
NFKB2,B,Stimulated,-0.004441007971763611,0.03854493078562199,-0.010696202516555786,0.0018141865730285645,2
PRDM1,B,Stimulated,-0.0018833428621292114,0.026414165169372616,4.13358211517334e-05,-0.0038080215454101562,2
SOCS3,B,Stimulated,0.010098695755004883,0.015402787637564364,0.0431494414806366,-0.02295204997062683,2
STAT5B,B,Stimulated,-0.04878564178943634,0.14674623753905677,-0.05102059245109558,-0.0465506911277771,2
TAF5L,B,Stimulated,-0.017399534583091736,0.06025352747720464,-0.0032199621200561523,-0.03157910704612732,2
USP22,B,Stimulated,0.004900991916656494,0.04402760495723823,0.007977932691574097,0.0018240511417388916,2
ZNF217,B,Stimulated,-0.020638227462768555,0.07237201986805947,-0.04517832398414612,0.003901869058609009,2
