time	donor	auc	median_delta_lost	median_delta_gained	median_delta_difference
4	TB03071936	0.671596056488143	0.53656993238066	-0.127460657635556	0.664030590016217
4	TB03072560	0.706552706552707	0.628628470394749	-0.214861066390002	0.843489536784751
4	TB03072608	0.697411301727848	0.716957057245302	-0.204053002706136	0.921010059951437
4	TB03073148	0.703427001988153	0.737089496742323	-0.203085324663359	0.940174821405682
4	TB03073189	0.707628768779848	0.643408439873568	-0.353933204327443	0.997341644201011
4	TB03073577	0.689294718071697	0.66287918156778	-0.205936080717039	0.868815262284819
4	TB03073591	0.692912336797229	0.476770814745624	-0.248994458893627	0.725765273639251
4	TB03073798	0.681618807518088	0.553436611708443	-0.140064629764966	0.693501241473409
4	TB03073852	0.721422861710632	0.476195280962983	-0.278196812941793	0.754392093904777
4	TB03073878	0.690196560700158	0.609771108979089	-0.190925593814989	0.800696702794078
4	TB03074092	0.709237738014716	0.786148397450595	-0.159052267026622	0.945200664477217
4	TB03074157	0.685943552850028	0.594955870141014	-0.177932161210945	0.772888031351959
4	TB03074178	0.681198630838919	0.722043616683145	-0.00211568028440312	0.724159296967548
4	TB03074192	0.709791141445818	0.773438979806006	-0.225063744346709	0.998502724152714
4	TB03074218	0.692630510975835	0.534754843111871	-0.0783909992123896	0.613145842324261
4	TB03074315	0.700434524175531	0.67386005538781	-0.183555996316133	0.857416051703944
4	TB03074401	0.693035315337474	0.769841359568374	-0.1030164285283	0.872857788096673
4	TB03074749	0.693957654389309	0.773692008665992	-0.105046802076693	0.878738810742684
8	TB03070100	0.686302240259075	0.635527144735302	-0.219286164279913	0.854813309015215
8	TB03070514	0.680850191641559	0.680476539192767	-0.190321694080661	0.870798233273428
8	TB03070641	0.695997048515034	0.899223065249275	-0.097210989886281	0.996434055135556
8	TB03071454	0.725860337371129	0.991781140254964	-0.258847639656733	1.2506287799117
8	TB03071936	0.6810551558753	0.585305386935186	-0.160106852091066	0.745412239026253
8	TB03072560	0.697472790997971	0.907783538248749	-0.101587862807261	1.00937140105601
8	TB03072608	0.686322736682449	0.814626218422434	-0.122206736520988	0.936832954943422
8	TB03073148	0.690422021357273	0.956991079839902	-0.0398975285320788	0.996888608371981
8	TB03073189	0.711379614257312	0.849600440502662	-0.378032999443521	1.22763343994618
8	TB03073577	0.706235011990408	0.830323979621795	-0.333360902458314	1.16368488208011
8	TB03073591	0.702535407571379	0.912394533759351	-0.187881049796119	1.10027558355547
8	TB03073798	0.701715550636414	0.827073837315782	-0.131686502729179	0.95876034004496
8	TB03073852	0.723841439668778	1.05518068785806	-0.184667085672679	1.23984777353074
8	TB03073878	0.686117772448708	0.918624791617003	-0.222520245311201	1.1411450369282
