minimum_reversals	donor	n_lost_predicted_induced	n_gained_predicted_repressed	auc	stratified_auc	median_delta_lost	median_delta_gained	median_delta_difference
3	TB03074749	162	118	0.547761037874032	0.545108005082592	0.734261793722694	0.423187482486343	0.311074311236351
5	TB03070100	52	28	0.501373626373626	0.4765625	0.395431048449483	0.471149711869536	-0.0757186634200533
5	TB03070514	52	28	0.482142857142857	0.453125	0.677059134609341	0.764341476895274	-0.087282342285933
5	TB03070641	52	28	0.46771978021978	0.4375	0.812380250827685	1.39555136022761	-0.583171109399927
5	TB03071454	52	28	0.61195054945055	0.5859375	0.949776157439526	0.6914692203871	0.258306937052426
5	TB03071936	52	28	0.528846153846154	0.4921875	0.698077493764989	0.767890662798758	-0.0698131690337687
5	TB03072560	52	28	0.534340659340659	0.5078125	0.995926003724846	0.963513952273915	0.0324120514509314
5	TB03072608	52	28	0.568681318681319	0.515625	0.864124927073494	0.837746215557525	0.0263787115159693
5	TB03073148	52	28	0.546016483516483	0.4921875	0.91624643114195	0.838195823367752	0.0780506077741985
5	TB03073189	52	28	0.590659340659341	0.53125	0.994400964353797	0.515111495907671	0.479289468446126
5	TB03073577	52	28	0.507554945054945	0.46875	0.776316432612618	0.828825994746549	-0.0525095621339311
5	TB03073591	52	28	0.554945054945055	0.5078125	0.911796472893801	0.416368076227279	0.495428396666522
5	TB03073798	52	28	0.550137362637363	0.53125	1.00581654859219	0.809890128327393	0.195926420264796
5	TB03073852	52	28	0.582417582417582	0.5546875	0.995491583458866	0.757249803108189	0.238241780350677
5	TB03073878	52	28	0.59478021978022	0.5625	1.09387873963622	0.709680655971759	0.384198083664459
5	TB03074092	52	28	0.533653846153846	0.515625	1.01091153343062	0.950946726016489	0.059964807414133
5	TB03074157	52	28	0.527472527472527	0.5078125	0.785161718019764	0.86991417319312	-0.0847524551733554
5	TB03074178	52	28	0.535714285714286	0.484375	0.752934568986549	0.748534572958279	0.00439999602827035
5	TB03074192	52	28	0.592032967032967	0.5625	1.19865109443818	0.692939488137224	0.50571160630096
5	TB03074218	52	28	0.500686813186813	0.453125	0.966410742438555	1.0767006259747	-0.110289883536149
5	TB03074315	52	28	0.554945054945055	0.515625	0.822857390973315	0.666038783856644	0.156818607116671
5	TB03074401	52	28	0.57967032967033	0.5390625	1.10041039212372	0.535027983735371	0.565382408388353
5	TB03074749	52	28	0.535027472527473	0.4921875	0.726865079664579	0.711718445862327	0.0151466338022517
