null_model	normalization	bin_left	bin_right	bin_midpoint	count	total_draws
regulator_signed_margin	author_normalized	-0.207602069713995	-0.205005519212397	-0.206303794463196	3	10000
regulator_signed_margin	author_normalized	-0.205005519212397	-0.202408968710798	-0.203707243961598	2	10000
regulator_signed_margin	author_normalized	-0.202408968710798	-0.1998124182092	-0.201110693459999	5	10000
regulator_signed_margin	author_normalized	-0.1998124182092	-0.197215867707602	-0.198514142958401	2	10000
regulator_signed_margin	author_normalized	-0.197215867707602	-0.194619317206004	-0.195917592456803	6	10000
regulator_signed_margin	author_normalized	-0.194619317206004	-0.192022766704405	-0.193321041955205	4	10000
regulator_signed_margin	author_normalized	-0.192022766704405	-0.189426216202807	-0.190724491453606	9	10000
regulator_signed_margin	author_normalized	-0.189426216202807	-0.186829665701209	-0.188127940952008	8	10000
regulator_signed_margin	author_normalized	-0.186829665701209	-0.184233115199611	-0.18553139045041	10	10000
regulator_signed_margin	author_normalized	-0.184233115199611	-0.181636564698012	-0.182934839948811	17	10000
regulator_signed_margin	author_normalized	-0.181636564698012	-0.179040014196414	-0.180338289447213	20	10000
regulator_signed_margin	author_normalized	-0.179040014196414	-0.176443463694816	-0.177741738945615	28	10000
regulator_signed_margin	author_normalized	-0.176443463694816	-0.173846913193217	-0.175145188444017	29	10000
regulator_signed_margin	author_normalized	-0.173846913193217	-0.171250362691619	-0.172548637942418	44	10000
regulator_signed_margin	author_normalized	-0.171250362691619	-0.168653812190021	-0.16995208744082	49	10000
regulator_signed_margin	author_normalized	-0.168653812190021	-0.166057261688423	-0.167355536939222	57	10000
regulator_signed_margin	author_normalized	-0.166057261688423	-0.163460711186824	-0.164758986437624	65	10000
regulator_signed_margin	author_normalized	-0.163460711186824	-0.160864160685226	-0.162162435936025	68	10000
regulator_signed_margin	author_normalized	-0.160864160685226	-0.158267610183628	-0.159565885434427	90	10000
regulator_signed_margin	author_normalized	-0.158267610183628	-0.15567105968203	-0.156969334932829	107	10000
regulator_signed_margin	author_normalized	-0.15567105968203	-0.153074509180431	-0.15437278443123	129	10000
regulator_signed_margin	author_normalized	-0.153074509180431	-0.150477958678833	-0.151776233929632	162	10000
regulator_signed_margin	author_normalized	-0.150477958678833	-0.147881408177235	-0.149179683428034	167	10000
regulator_signed_margin	author_normalized	-0.147881408177235	-0.145284857675637	-0.146583132926436	182	10000
regulator_signed_margin	author_normalized	-0.145284857675637	-0.142688307174038	-0.143986582424837	216	10000
regulator_signed_margin	author_normalized	-0.142688307174038	-0.14009175667244	-0.141390031923239	235	10000
regulator_signed_margin	author_normalized	-0.14009175667244	-0.137495206170842	-0.138793481421641	262	10000
regulator_signed_margin	author_normalized	-0.137495206170842	-0.134898655669243	-0.136196930920043	258	10000
regulator_signed_margin	author_normalized	-0.134898655669243	-0.132302105167645	-0.133600380418444	276	10000
regulator_signed_margin	author_normalized	-0.132302105167645	-0.129705554666047	-0.131003829916846	294	10000
regulator_signed_margin	author_normalized	-0.129705554666047	-0.127109004164449	-0.128407279415248	310	10000
regulator_signed_margin	author_normalized	-0.127109004164449	-0.12451245366285	-0.125810728913649	348	10000
regulator_signed_margin	author_normalized	-0.12451245366285	-0.121915903161252	-0.123214178412051	355	10000
regulator_signed_margin	author_normalized	-0.121915903161252	-0.119319352659654	-0.120617627910453	338	10000
regulator_signed_margin	author_normalized	-0.119319352659654	-0.116722802158056	-0.118021077408855	352	10000
regulator_signed_margin	author_normalized	-0.116722802158056	-0.114126251656457	-0.115424526907256	358	10000
regulator_signed_margin	author_normalized	-0.114126251656457	-0.111529701154859	-0.112827976405658	367	10000
regulator_signed_margin	author_normalized	-0.111529701154859	-0.108933150653261	-0.11023142590406	412	10000
regulator_signed_margin	author_normalized	-0.108933150653261	-0.106336600151662	-0.107634875402462	334	10000
regulator_signed_margin	author_normalized	-0.106336600151662	-0.103740049650064	-0.105038324900863	380	10000
regulator_signed_margin	author_normalized	-0.103740049650064	-0.101143499148466	-0.102441774399265	331	10000
regulator_signed_margin	author_normalized	-0.101143499148466	-0.0985469486468676	-0.0998452238976667	331	10000
regulator_signed_margin	author_normalized	-0.0985469486468676	-0.0959503981452693	-0.0972486733960685	287	10000
regulator_signed_margin	author_normalized	-0.0959503981452693	-0.0933538476436711	-0.0946521228944702	295	10000
regulator_signed_margin	author_normalized	-0.0933538476436711	-0.0907572971420728	-0.0920555723928719	289	10000
regulator_signed_margin	author_normalized	-0.0907572971420728	-0.0881607466404745	-0.0894590218912737	249	10000
