"regulator_ensg"	"regulator_symbol"	"paired_donor_set"	"paired_donors"	"case_guide_A"	"case_guide_B"	"cal_guide_A"	"cal_guide_B"	"distance_A"	"distance_B"	"total_score"	"feasible_unordered_pairs"	"feasible_ordered_pairs"	"cal_selection_status"	"target_or_expression_values_used"	"methods_config_sha256"	"amendment_sha256"	"case_support_sha256"	"ntc_support_sha256"
"ENSG00000162604"	"TM2D1"	"D1,D2,D4"	3	"TM2D1-1"	"TM2D1-2"	"NTC-411"	"NTC-783"	0.562375850298818	0.421603361880802	0.983979212179621	17174	34348	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000163125"	"RPRD2"	"D1,D2,D3,D4"	4	"RPRD2-1"	"RPRD2-2"	"NTC-540"	"NTC-964"	0.516013481113448	0.545136550396095	1.06115003150954	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000164327"	"RICTOR"	"D1,D2,D4"	3	"RICTOR-1"	"RICTOR-2"	"NTC-889"	"NTC-444"	0.417481388333288	0.536207673813635	0.953689062146923	17174	34348	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000164466"	"SFXN1"	"D1,D2,D4"	3	"SFXN1-1"	"SFXN1-2"	"NTC-755"	"NTC-188"	0.442728870059873	0.581966038663216	1.02469490872309	17174	34348	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000164985"	"PSIP1"	"D1,D2,D4"	3	"PSIP1-1"	"PSIP1-2"	"NTC-375"	"NTC-805"	0.449916223381854	0.545392262271578	0.995308485653432	17174	34348	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000165699"	"TSC1"	"D1,D3,D4"	3	"TSC1-1"	"TSC1-2"	"NTC-831"	"NTC-873"	0.550857792765647	0.533231997058809	1.08408978982446	15589	31178	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000166477"	"LEO1"	"D1,D3,D4"	3	"LEO1-1"	"LEO1-2"	"NTC-003"	"NTC-061"	0.571881046400214	0.508365013308996	1.08024605970921	15589	31178	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000166669"	"ATF7IP2"	"D1,D2,D3,D4"	4	"ATF7IP2-1"	"ATF7IP2-2"	"NTC-038"	"NTC-485"	0.53551858021814	0.912633237489641	1.44815181770778	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000167130"	"DOLPP1"	"D1,D2,D3,D4"	4	"DOLPP1-1"	"DOLPP1-2"	"NTC-793"	"NTC-584"	0.499324961757395	0.4913129922226	0.990637953979994	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000167770"	"OTUB1"	"D1,D2,D3,D4"	4	"OTUB1-1"	"OTUB1-2"	"NTC-125"	"NTC-876"	0.498162705745203	0.564154242346791	1.06231694809199	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
